SYSNAME,SUBSTRATE,PRODUCT,bin,OxidativeHalf,ReductionHalf
"5-methylphenazine-1-carboxylate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating)","['5-methylphenazine-1-carboxylate', '5-methylphenazine-1-carboxylate [CPD:C21295];', 'NADH', 'NADH [CPD:C00004];', 'O2', 'O2 [CPD:C00007]', 'more']","['?', 'CO2', 'CO2 [CPD:C00011];', 'H2O', 'H2O [CPD:C00001]', 'NAD+', 'NAD+ [CPD:C00003];', 'pyocyanin', 'pyocyanin [CPD:C01748];']",0,0,0
(1->4)-alpha-D-glucan:phosphate alpha-D-glucosyltransferase,"['[(1->4)-alpha-D-glucosyl]n;', 'phosphate [CPD:C00009]']","['[(1->4)-alpha-D-glucosyl]n-1;', 'alpha-D-glucose 1-phosphate [CPD:C00103]']",0,0,0
trypanothione:NADP+ oxidoreductase,"['trypanothione [CPD:C02090];', 'NADP+ [CPD:C00006]']","['trypanothione disulfide [CPD:C03170];', 'NADPH [CPD:C00005];', 'H+ [CPD:C00080]']",0,0,0
Fe(II)-siderophore:NAD+ oxidoreductase,"['2 EDTA', '2 Fe(II)', '2 Fe(II)-siderophore', '2 Fe(III)-siderophore', '2 Fe2+', '4,7-diphenyl-1,10-phenanthroline-disulfonic acid', 'Fe(II)-siderophore;', 'Fe(III)-ethylene diamine tetraacetic acid', 'Fe(III)-ethylenediaminetetraacetic complex', 'Fe3+', 'H+', 'H+ [CPD:C00080]', 'NAD+', 'NAD+ [CPD:C00003];', 'NADH', 'NADPH', 'ferric dicitrate', 'more']","['2 Fe(II)-siderophore', '2 Fe(III)', '2 Fe(III)-EDTA', '2 Fe(III)-siderophore', '2 Fe3+', '?', 'Fe(II)-tri-4,7-diphenyl-1,10-phenanthroline-disulfonic acid', 'Fe(III)-siderophore;', 'Fe2+', 'H+', 'NAD+', 'NADH', 'NADH [CPD:C00004]', 'NADP+', 'ethylene diamine tetraacetic acid']",0,0,0
"L-arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)","['1,4-bis-[[2-(dimethylamino-N-oxide)ethyl]amino]-5,8-dihydroxyanthracene-9,10-dione', '1-[[2-(dimethylamino-N-oxide)ethyl]amino]-4-[[2-(dimethylamino)ethyl]amino]-5,8-dihydroxyanthracene-9,10-dione', '1-butyl-2-hydroxyguanidine', '2 L-arginine', '2,6-dichlorophenolindophenol', '2-hydroxy-1-(4-hydroxyphenyl)guanidine', '2-hydroxy-1-isopropylguanidine', '3 H+', '3 NADPH', '4 O2', '4-hydroxyphenylacetic acid', 'H+', 'H+ [CPD:C00080];', 'H2O2', 'L-Ala-L-Arg', 'L-Arg-L-Arg', 'L-Arg-L-Arg-L-Arg', 'L-Arg-L-Phe', 'L-arginine', 'L-arginine [CPD:C00062];', 'L-homoarginine', 'N-hydroxy-L-arginine', 'NADPH', 'NADPH [CPD:C00005];', 'Ngamma-hydroxy-L-arginine', 'Nomega-hydroxy-L-arginine', 'O2', 'O2 [CPD:C00007];', 'adriamycin', 'ferricyanide', 'ferricytochrome c', 'menadione', 'mitomycin c', 'more', 'nitroblue tetrazolium', 'oxidized cytochrome c', 'peroxynitrite', 'tetrahydrobiopterin']","['1,4-bis[[2-(dimethylamino)ethyl]amino]-5,8-dihydroxyanthracene-9,10-dione', '1-[[2-(dimethylamino-N-oxide)ethyl]amino]-4-[[2-(dimethylamino)ethyl]amino]-5,8-dihydroxyanthracene-9,10-dione', '2 L-citrulline', '2 NO', '2 citrulline', '2 nitric oxide', '3 NADP+', '4 H2O', '4-hydroxyl-3-nitro-phenylacetic acid', '?', 'H2O', 'H2O [CPD:C00001];', 'L-citrulline', 'L-citrulline [CPD:C00327];', 'NADP+', 'NADP+ [CPD:C00006];', 'NO', 'NO2-', 'NO3-', 'Ndelta-cyanoornithine', 'Nomega-hydroxy-L-arginine', 'citrulline', 'ferrocyanide', 'ferrocytochrome c', 'nitric oxide', 'nitric oxide [CPD:C00533];', 'nitroblue tetrazolium-flavazone', 'reduced cytochrome c']",0,0,0
"benzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)","['2-methylbenzoate', '3-aminobenzoate', '3-chlorobenzoate', '3-fluorobenzoate', '3-methylbenzoate', '4-fluorobenzoate', 'H+', 'H+ [CPD:C00080];', 'NADH', 'NADH [CPD:C00004];', 'O2', 'O2 [CPD:C00007]', 'benzene', 'benzoate', 'benzoate [CPD:C00180];', 'butyl benzol', 'ethyl benzene', 'more']","['(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate', '(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate [CPD:C06321];', '(R,S)-1,2-dihydro-1,2-dihydroxycatechol', '1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate', '2-hydro-1,2-dihydroxybenzoate', '3-amino-2-hydro-1,2-dihydroxybenzoate', '3-chloro-2-hydro-1,2-dihydroxybenzoate', '3-fluoro-2-hydro-1,2-dihydroxybenzoate', '3-methyl-2-hydro-1,2-dihydroxybenzoate', '4-fluoro-2-hydro-1,2-dihydroxybenzoate', '?', 'NAD+', 'NAD+ [CPD:C00003]', 'cis-1,2-dihydro-1,2-dihydroxy-2-methyl-benzoate', 'cis-1,2-dihydroxy-cyclohexa-3,5-diene-1-carboxylate']",0,0,0
retinal:NAD+ oxidoreductase,"['retinal [CPD:C00376];', 'NAD+ [CPD:C00003];', 'H2O [CPD:C00001]']","['retinoate [CPD:C00777];', 'NADH [CPD:C00004];', 'H+ [CPD:C00080]']",0,0,0
dihydrobenzophenanthridine:oxygen oxidoreductase,"['dihydrosanguinarine [CPD:C05191];', 'O2 [CPD:C00007];', 'dihydrochelirubine [CPD:C05194];', 'dihydromacarpine [CPD:C05316]']","['sanguinarine [CPD:C06162];', 'H2O2 [CPD:C00027];', 'chelirubine [CPD:C06327];', 'macarpine [CPD:C06165]']",0,0,0
glutathione:NADP+ oxidoreductase,"['glutathione [CPD:C00051];', 'NADP+ [CPD:C00006]']","['glutathione disulfide [CPD:C00127];', 'NADPH [CPD:C00005];', 'H+ [CPD:C00080]']",0,0,0
4-hydroxyproline 2-epimerase,['trans-4-hydroxy-L-proline [CPD:C01157]'],['cis-4-hydroxy-D-proline [CPD:C03440]'],0,0,0
L-arginine:oxygen oxidoreductase (deaminating),"['L-arginine [CPD:C00062];', 'H2O [CPD:C00001];', 'O2 [CPD:C00007]']","['5-guanidino-2-oxopentanoate [CPD:C03771];', 'NH3 [CPD:C00014];', 'H2O2 [CPD:C00027]']",0,0,0
thiosulfate:dithioerythritol sulfurtransferase,"['thiosulfate [CPD:C00320];', 'dithioerythritol [CPD:C00950]']","['sulfite [CPD:C00094];', '4,5-cis-dihydroxy-1,2-dithiacyclohexane [CPD:C06484];', 'sulfide [CPD:C00283]']",0,0,0
ATP:ATP adenylyltransferase (cyclizing),['ATP [CPD:C00002]'],"['diphosphate [CPD:C00013];', ""cyclic di-3',5'-adenylate [CPD:C20565]""]",0,0,0
"(+)-germacrene-A,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12-hydroxylating)","['(+)-germacrene A', '(+)-germacrene A [CPD:C16141];', '2 O2', '2 [reduced NADPH-hemoprotein reductase]', 'O2', 'O2 [CPD:C00007];', '[reduced NADPH---hemoprotein reductase] [CPD:C03024];', '[reduced NADPH-hemoprotein reductase]', 'beta-elemene', 'germacra-1(10),4,11(13)-trien-12-al [CPD:C19677]', 'germacra-1(10),4,11(13)-trien-12-ol', 'germacra-1(10),4,11(13)-trien-12-ol [CPD:C19676];', 'germacrene A']","['12-hydroxygermacrene A', '2 [oxidized NADPH-hemoprotein reductase]', '3 H2O', 'H2O', 'H2O [CPD:C00001];', '[oxidized NADPH---hemoprotein reductase] [CPD:C03161];', '[oxidized NADPH-hemoprotein reductase]', 'elema-1,3,11(13)-trien-12-ol', 'germacra-1(10),4,11(13)-trien-12-al [CPD:C19677]', 'germacra-1(10),4,11(13)-trien-12-oate', 'germacra-1(10),4,11(13)-trien-12-oate [CPD:C19678];', 'germacra-1(10),4,11(13)-trien-12-ol', 'germacra-1(10),4,11(13)-trien-12-ol [CPD:C19676];']",0,0,0
sn-glycerol-3-phosphate:NAD(P)+ 2-oxidoreductase,"['H+', 'NAD(P)+', 'NAD(P)H', 'NAD+ [CPD:C00003];', 'NADH', 'NADP+', 'NADP+ [CPD:C00006]', 'NADPH', 'glyceraldehyde-3-phosphate', 'glyceric acid 2-phosphate', 'glycerone phosphate', 'phosphoenolpyruvate', 'reduced nicotinamide hypoxanthine dinucleotide', 'sn-glycerol 3-phosphate', 'sn-glycerol 3-phosphate [CPD:C00093];']","['?', 'H+', 'H+ [CPD:C00080]', 'NAD(P)+', 'NAD(P)H', 'NAD+', 'NADH [CPD:C00004];', 'NADP+', 'NADPH', 'NADPH [CPD:C00005];', 'glycerone phosphate', 'glycerone phosphate [CPD:C00111];', 'oxidized nicotinamide hypoxanthine dinucleotide', 'sn-glycerol 3-phosphate', 'sn-glycerol-3-phosphate']",0,0,0
butanal:NAD(P)+ oxidoreductase (CoA-acylating),"['butanal [CPD:C01412];', 'CoA [CPD:C00010];', 'NAD+ [CPD:C00003];', 'NADP+ [CPD:C00006]']","['butanoyl-CoA [CPD:C00136];', 'NADH [CPD:C00004];', 'NADPH [CPD:C00005];', 'H+ [CPD:C00080]']",0,0,0
"L-galactono-1,4-lactone:oxygen 3-oxidoreductase","['L-galactono-1,4-lactone [CPD:C01115];', 'O2 [CPD:C00007]']","['L-ascorbate [CPD:C00072];', 'H2O2 [CPD:C00027]']",0,0,0
"2,3-bis-(O-phytanyl)-sn-glycero-phospholipid:ferredoxin oxidoreductase","['2,3-bis-(O-phytanyl)-sn-glycero-phospholipid;', 'oxidized ferredoxin [iron-sulfur] cluster [CPD:C00139]']","['2,3-bis-(O-geranylgeranyl)-sn-glycero-phospholipid;', 'reduced ferredoxin [iron-sulfur] cluster [CPD:C00138];', 'H+ [CPD:C00080]']",0,0,0
"toluene,NADH:oxygen oxidoreductase (1,2-hydroxylating)","['(+)-(S)-indan-1-ol', '(+/-)-trans-2-phenyl-1-cyclohexanol', '(-)-(R)-indan-1-ol', '(1-methylcyclopropyl)benzene', '(1E)-prop-1-en-1-ylbenzene', '(1R,2S)-(-)-trans-2-phenyl-1-cyclohexanol', '(4S,5S,6S)-4,5-dihydroxy-6-methoxycyclohex-2-enone', '(R)-1-phenyl-1-ethanol', '(R)-2-phenylcyclohexanone', '(S)-1-phenyl-1-ethanol', '(S)-2-phenylcyclohexanone', '(cis)-2-chloro-2-butene', '(trans)-2-chloro-2-butene', ""1,1'-(1S,2S)-cyclopropane-1,2-diyldibenzene"", '1,1-dichloro-1-propene', '1,2-dibromobenzene', '1,3-dibromobenzene', '1,3-dinitrobenzene', '1,4-dibromobenzene', '1-bromo-2-ethylbenzene', '1-bromo-3-ethylbenzene', '1-bromo-4-cyclopropylbenzene', '1-bromo-4-ethylbenzene', '1-bromo-4-propylbenzene', '1-chloro-2-ethylbenzene', '1-chloro-2-methyl-1-propene', '1-chloro-3-ethylbenzene', '1-chloro-3-propylbenzene', '1-chloro-4-ethylbenzene', '1-chloro-4-propylbenzene', '1-ethyl-2-fluorobenzene', '1-ethyl-2-iodobenzene', '1-ethyl-3-fluorobenzene', '1-ethyl-4-fluorobenzene', '1-ethyl-4-iodobenzene', '1-fluoro-2-propylbenzene', '1-fluoro-4-propylbenzene', '1-indanone', '1-phenylcyclohexene', '2,3-dichloro-1-propene', '2-acetoxyindane', '2-bromoindane', '2-carbamoylindane', '2-chloroaniline', '2-chloroindane', '2-chlorothiophene', '2-cresol', '2-ethylthiophene', '2-hexene', '2-indanone', '2-iodoindane', '2-methoxyindane', '2-methoxyphenol', '2-methylindan', '2-methylthiophene', '3,4-dichloro-1-butene', '3,4-dichloroaniline', '3-(propan-2-yl)benzene-1,2-diol', '3-(trifluoromethyl)benzene-1,2-diol', '3-chloroaniline', '3-cresol', '3-ethylbenzene-1,2-diol', '3-iodobenzene-1,2-diol', '3-methoxyphenol', '3-methylbenzene-1,2-diol', '3-phenylcyclohexene', '3-phenylphenol', '3-tert-butylbenzene-1,2-diol', '4-chloroaniline', '4-cresol', '4-picoline', '4-xylene', '5-cyanoindole', '5-nitroindole', '6-bromoindene', '6-chloroindole', '6-methoxyindole', '7-bromoindole', '7-chloroindole', 'H+', 'H+ [CPD:C00080];', 'NADH', 'NADH [CPD:C00004];', 'NADPH', 'O2', 'O2 [CPD:C00007]', '[(1S,2S)-2-methylcyclopropyl]benzene', 'allyl 2-bromobenzoate', 'allyl 2-chlorobenzoate', 'allyl 2-fluorobenzoate', 'allyl 2-iodobenzoate', 'benzaldoxime', 'benzamide iminol', 'benzene', 'benzyl azide', 'biphenyl-2,3-diol', 'bromobenzene', 'butyl phenyl sulfide', 'chlorobenzene', 'chromane', 'cis-1,2-dichloroethene', 'cis-1,4-dichloro-2-butene', 'cis-1-bromo-1-propene', 'cis-1-chloro-1-propene', 'cis-2-heptene', 'cis-2-octene', 'cis-2-pentene', 'cis-dibromoethene', 'cumene', 'cyclopropylbenzene', 'diphenylmethane', 'ethenyl phenyl sulfide', 'ethyl 2-bromobenzoate', 'ethyl 2-chlorobenzoate', 'ethyl 2-fluorobenzoate', 'ethyl 2-iodobenzoate', 'ethyl phenyl sulfide', 'ethylbenzene', 'indan-1-ol', 'indan-2-ol', 'indan-2-one', 'indane', 'indene', 'indole', 'iodobenzene', 'isopropyl phenyl sulfide', 'methoxymethyl phenyl sulfide', 'methyl (2-pyridyl) sulfide', 'methyl (2-thienyl) sulfide', 'methyl 2-bromobenzoate', 'methyl 2-chlorobenzoate', 'methyl 2-fluorobenzoate', 'methyl 2-iodobenzoate', 'methyl p-nitrophenyl sulfide', 'methyl p-tolyl sulfide', 'methyl phenyl sulfide', 'more', 'n-propyl 2-bromobenzoate', 'n-propyl 2-chlorobenzoate', 'n-propyl 2-fluorobenzoate', 'n-propyl 2-iodobenzoate', 'p-methoxyphenyl methyl sulfide', 'phenol', 'phenylcyclohexane', 'propargyl 2-bromobenzoate', 'propargyl 2-chlorobenzoate', 'propargyl 2-fluorobenzoate', 'propargyl 2-iodobenzoate', 'propyl phenyl sulfide', 'propylbenzene', 'styrene', 'thiophene', 'toluene', 'toluene [CPD:C01455];', 'trans-1,4-dichloro-2-butene', 'trans-1-bromo-1-propene', 'trans-1-chloro-1-propene', 'trans-dibromoethene', 'trichloroethene', 'trichloroethylene', 'trifluoromethylbenzene', 'xylene']","['(+)-(1S)-indenol', '(+)-(1S,3S)-1,3-dihydroxy-2-iodoindane', '(+)-trans-(1R,2R)-2-chloroindan-1-ol', '(+)-trans-(1S,3S)-1,3-dihydroxy-2-bromoindane', '(+)-trans-(1S,3S)-1,3-dihydroxyindane', '(-)-(1R)-1-hydroxyindene', '(-)-(1R)-indanol', '(-)-(1R,4R,5S)-1,4,5-trihydroxy-4,5-dihydroindane', '(-)-(2R)-2-hydroxyindan-1-one', '(-)-(2R)-2-methyindan-1-one', '(-)-(3R)-3-hydroxyindan-1-one', '(-)-(R)-indan-1-ol', '(-)-cis-(1R,2R)-1-hydroxy-2-methylindane', '(-)-cis-(1S,2R)-1,2-dihydroxy-indane', '(-)-cis-(1S,2R)-1,2-dihydroxyindane', '(-)-cis-(1S,2R)-2-azoindan-1-ol', '(-)-cis-(1S,2R)-2-bromoindan-1-ol', '(-)-cis-(1S,2R)-2-chloroindan-1-ol', '(-)-cis-(1S,2R)-2-methoxyindan-1-ol', '(-)-cis-(1S,2R)-dihydroxyindan', '(-)-cis-(2S,3R)-3-hydroxy-2-methylindan-1-one', '(-)-trans-(1R,2R)-1,2-dihydroxy-indane', '(-)-trans-(1R,2R)-1,2-dihydroxyindane', '(-)-trans-(1R,2R)-2-methoxyindan-1-ol', '(-)-trans-(1R,3R)-1,3-dihydroxy-2-methylindane', '(-)-trans-(1S,3S)-1,3-dihydroxy-2-chloroindane', '(1R,2R)-3-bromo-6-cyclopropylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-bromo-6-ethylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-bromo-6-propylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-chloro-6-ethylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-chloro-6-propylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-ethyl-6-fluorocyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-ethyl-6-iodocyclohexa-3,5-diene-1,2-diol', '(1R,2R)-3-fluoro-6-propylcyclohexa-3,5-diene-1,2-diol', '(1R,2R)-6-methylcyclohexa-3,5-diene-1,2,3-triol', '(1R,2S)-6-methylcyclohexa-3,5-diene-1,2,4-triol', '(1S)-indenol', '(1S,2R)-3-(1-cyclohexenyl)-3,5-cyclohexadiene-1,2-diol', '(1S,2R)-3-(1-cyclohexyl)-3,5-cyclohexadiene-1,2-diol', '(1S,2R)-3-(1-methylcyclopropyl)cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-(cyclohexenyl)-3,5-cyclohexadiene-1,2-diol', '(1S,2R)-3-(trifluoromethyl)cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-[(1E)-prop-1-en-1-yl]cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-[(1R,2R)-2-methylcyclopropyl]cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-[(1R,2R)-2-phenylcyclopropyl]cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-[(1S,2S)-2-methylcyclopropyl]cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-[(1S,2S)-2-phenylcyclopropyl]cyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-benzylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-cyclopropylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-ethyl-4-fluorocyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-ethyl-4-iodocyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-ethyl-5-fluorocyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-methylcyclohexa-3,5-diene-1,2,4-triol', '(1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol [CPD:C04592];', '(1S,2R)-3-propylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-4-bromo-3-ethylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-4-chloro-3-ethylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-4-fluoro-3-propylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-5-bromo-3-ethylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-5-chloro-3-ethylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-5-chloro-3-propylcyclohexa-3,5-diene-1,2-diol', '(1S,2R)-cyclohexa-3,5-diene-1,2,4-triol', '(1S,2S)-1,4-dibromo-cyclohexa-3,5-diene-1,2-diol', '(1S,2S)-2,4-dibromo-cyclohexa-3,5-diene-1,2-diol', '(1S,2S)-3,4-dibromo-cyclohexa-3,5-diene-1,2-diol', '(1S,2S)-3-bromocyclohexa-3,5-diene-1,2-diol', '(1S,2S)-3-chlorocyclohexa-3,5-diene-1,2-diol', '(1S,2S)-3-iodocyclohexa-3,5-diene-1,2-diol', '(1S,2S)-6-methoxycyclohexa-3,5-diene-1,2,4-triol', ""(1S,5'S,6'R)-5',6'-dihydroxybicyclohexyl-1',3'-diene-2-one"", '(2R)-6-methylcyclohexa-3,5-diene-1,1,2-triol', ""(2R,3S)-2,3-dihydro[1,1'-biphenyl]-2,3,5-triol"", '(2S)-3-methoxycyclohexa-3,5-diene-1,1,2-triol', '(2S)-3-methylcyclohexa-3,5-diene-1,1,2-triol', '(2S)-4-methylcyclohexa-3,5-diene-1,1,2-triol', ""(2S)-[1,1'-biphenyl]-2,3,3(2H)-triol"", '(2S)-cyclohexa-3,5-diene-1,1,2-triol', '(2S,3S,4S)-3,4-dihydroxy-2-methoxycyclohexanone', '(4R,5S)-3-ethyl-4,5-dihydroxycyclohex-2-en-1-one', '(4R,5S)-3-tert-butyl-4,5-dihydroxycyclohex-2-en-1-one', '(4R,5S)-4,5-dihydroxy-3-(propan-2-yl)cyclohex-2-en-1-one', '(4R,5S)-4,5-dihydroxy-3-(trifluoromethyl)cyclohex-2-en-1-one', '(4R,5S)-4,5-dihydroxy-3-methylcyclohex-2-en-1-one', '(4R,5S)-4,5-dihydroxy-3-phenylcyclohex-2-en-1-one', '(4S,4aR,9aR)-4,6,7,8,9,9a-hexahydro-4aH-dibenzofuran-4,5a-diol', '(4S,5S)-4,5-dihydroxy-2-methoxycyclohex-2-enone', '(4S,5S)-4,5-dihydroxy-3-iodocyclohex-2-en-1-one', '(4S,5S)-4,5-dihydroxy-3-methoxycyclohex-2-enone', '(R)-butyl phenyl sulfoxide', '(R)-ethenyl phenyl sulfoxide', '(R)-ethyl phenyl sulfoxide', '(R)-isopropyl phenyl sulfoxide', '(R)-methoxymethyl phenyl sulfoxide', '(R)-methyl (2-pyridyl) sulfoxide', '(R)-methyl (2-thienyl) sulfoxide', '(R)-methyl phenyl sulfoxide', '(R)-propyl phenyl sulfoxide', '(R)1-phenyl-1,2-ethanediol', '(S)-2-hydroxy-1-indanone', '1,2-dibromoethane-1,2-diol', '1,4-dichloro-2-butanone', '1,4-dichlorobutane-2,3-diol', '1-indanone', '1-indenol', ""2,2'-bis(2,3-dihydro-3-oxoindolyliden)"", '2,3-dichloro-2-propene-1-ol', '2-amino-5-chlorophenol', '2-chloro-2-butene-1-ol', '3,3-dichloro-2-propene-1-ol', '3,4-dichlorobutane-1,2-diol', '3-(2-hydroxycyclohexanyl)-3,5-cyclohexadiene-1,2-diol', '3-[1(R)-hydroxyethyl]cyclohexa-3,5-diene-1(S),2(R)-diol', '3-[1(S)-hydroxyethyl]cyclohexa-3,5-diene-1(S),2(R)-diol', '3-hydroxy-4-picoline', '4-chlorocatechol', '4-xylenol', '6-bromoinden-1-ol', '?', 'H2O', 'NAD+', 'NAD+ 10', 'NAD+ [CPD:C00003]', 'NADP+', 'allyl (5S,6R)-5,6-dihydroxy-2-bromocyclohex-1,3-dienecarboxylate', 'allyl (5S,6R)-5,6-dihydroxy-2-chlorocyclohex-1,3-dienecarboxylate', 'allyl (5S,6R)-5,6-dihydroxy-2-fluorocyclohex-1,3-dienecarboxylate', 'allyl (5S,6R)-5,6-dihydroxy-2-iodocyclohex-1,3-dienecarboxylate', 'benzene cis-dihydrodiol', 'benzene dihydrodiol', 'benzonitrile', 'chromane-4-ol', 'chromane-4-one', 'cis-(1S, 2R)-indandiol', 'cis-(1S,2R)-3-propylcyclohexa-3,5-diene-1,2-diol', 'cis-(1S,2R)-indandiol', ""cis-(1S,2R)3-[(R)1'-hydroxyethyl]cyclohexa-3,5-diene-1,2-diol"", 'cis-(1S,2S)-3-bromocyclohexa-3,5-diene-1,2-diol', 'cis-1,2-dihydoxyindane', 'cis-1,2-dihydroxy-3-methyl-6-methylthiocyclohexa-3,5-diene', 'cis-2,3-dihydroxy-1-vinylcyclohexa-4,6-diene', 'cis-toluene dihydrodiol', 'ethyl (3S,4S)-2-bromo-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'ethyl (3S,4S)-2-chloro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'ethyl (3S,4S)-2-fluoro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'ethyl (3S,4S)-3,4-dihydroxy-2-iodocyclohex-1,5-dienecarboxylate', 'ethyl (5S,6R)-5,6-dihydroxy-2-bromocyclohex-1,3-dienecarboxylate', 'ethyl (5S,6R)-5,6-dihydroxy-2-chlorocyclohex-1,3-dienecarboxylate', 'ethyl (5S,6R)-5,6-dihydroxy-2-fluorocyclohex-1,3-dienecarboxylate', 'ethyl (5S,6R)-5,6-dihydroxy-2-iodocyclohex-1,3-dienecarboxylate', 'ethylbenzene cis-dihydrodiol', 'formate', 'glyoxylate', 'heptane-2,3-diol', 'hexane-2,3-diol', 'indan-1-one', 'indan-2-ol', 'indigo', 'methyl (3S,4S)-2-bromo-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'methyl (3S,4S)-2-chloro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'methyl (3S,4S)-2-fluoro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'methyl (3S,4S)-3,4-dihydroxy-2-iodocyclohexa-1,5-diene-1-carboxylate', 'methyl (5S,6R)-2-bromo-5,6-dihydroxycyclohexa-1,3-diene-1-carboxylate', 'methyl (5S,6R)-2-chloro-5,6-dihydroxycyclohexa-1,3-diene-1-carboxylate', 'methyl (5S,6R)-5,6-dihydroxy-2-fluorocyclohexa-1,3-dienecarboxylate', 'methyl (5S,6R)-5,6-dihydroxy-2-iodocyclohexa-1,3-diene-1-carboxylate', 'methyl p-nitrophenyl sulfoxide', 'n-propyl (5S,6R)-5,6-dihydroxy-2-fluorocyclohex-1,3-dienecarboxylate', 'octane-2,3-diol', 'p-methoxyphenyl methyl sulfoxide', 'pentane-2,3-diol', 'prop-2-en-1-yl (3S,4S)-2-bromo-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-en-1-yl (3S,4S)-2-chloro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-en-1-yl (3S,4S)-2-fluoro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-en-1-yl (3S,4S)-3,4-dihydroxy-2-iodocyclohexa-1,5-diene-1-carboxylate', 'prop-2-yn-1-yl (3S,4S)-2-bromo-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-yn-1-yl (3S,4S)-2-chloro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-yn-1-yl (3S,4S)-2-fluoro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'prop-2-yn-1-yl (3S,4S)-3,4-dihydroxy-2-iodocyclohexa-1,5-diene-1-carboxylate', 'propargyl (5S,6R)-5,6-dihydroxy-2-bromocyclohex-1,3-dienecarboxylate', 'propargyl (5S,6R)-5,6-dihydroxy-2-chlorocyclohex-1,3-dienecarboxylate', 'propargyl (5S,6R)-5,6-dihydroxy-2-fluorocyclohex-1,3-dienecarboxylate', 'propargyl (5S,6R)-5,6-dihydroxy-2-iodocyclohex-1,3-dienecarboxylate', 'propyl (3S,4S)-2-bromo-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'propyl (3S,4S)-2-chloro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'propyl (3S,4S)-2-fluoro-3,4-dihydroxycyclohexa-1,5-diene-1-carboxylate', 'propyl (3S,4S)-3,4-dihydroxy-2-iodocyclohexa-1,5-diene-1-carboxylate', 'propyl (5S,6R)-2-bromo-5,6-dihydroxycyclohexa-1,3-diene-1-carboxylate', 'propyl (5S,6R)-2-chloro-5,6-dihydroxycyclohexa-1,3-diene-1-carboxylate', 'propyl (5S,6R)-5,6-dihydroxy-2-iodocyclohexa-1,3-diene-1-carboxylate', 'trans-(1R,3R)-1,3-dihydroxyindane']",0,0,0
2-methyl-branched-chain-acyl-CoA:electron-transfer flavoprotein 2-oxidoreductase,"['2-methylbutanoyl-CoA [CPD:C01033];', 'electron-transfer flavoprotein [CPD:C04253]']","['(E)-2-methylbut-2-enoyl-CoA;', 'reduced electron-transfer flavoprotein [CPD:C04570];', 'H+ [CPD:C00080]']",0,0,0
