ec,SYSNAME,SUBSTRATE,PRODUCT,bin,OxidativeHalf,ReductionHalf
1.3.5.3,protoporphyrinogen IX:menadione oxidoreductase,"[""3 menadione"", ""3 menaquinone"", ""3 triphenyltetrazolium chloride"", ""3 ubiquinone"", ""more"", ""protoporphyrinogen IX""]","[""3 menadiol"", ""3 menaquinol"", ""3 ubiquinol"", ""?"", ""protoporphyrin IX""]",0,0,0
1.3.5.4,succinate:quinone oxidoreductase,"[""2,3-dimethyl-1,4-naphthohydroquinone"", ""2,3-dimethyl-1,4-naphthoquinol"", ""2,6-dichlorophenolindophenol"", ""8-methylmenaquinol-6"", ""a menaquinol"", ""a menaquinone"", ""a quinol"", ""a quinone"", ""anthrahydroquinonesulfonate"", ""ferricyanide"", ""fumarate"", ""menaquinol"", ""menaquinol-6"", ""menaquinone"", ""methylene blue"", ""more"", ""phenazine methosulfate"", ""rhodoquinone"", ""succinate"", ""ubiquinone""]","[""2,3-dimethyl-1,4-naphthoquinone"", ""8-methylmenaquinone-6"", ""?"", ""a menaquinol"", ""a menaquinone"", ""a quinol"", ""a quinone"", ""anthraquinonesulfonate"", ""ferrocyanide"", ""fumarate"", ""menaquinol"", ""menaquinone"", ""menaquinone-6"", ""reduced phenazine methosulfate"", ""rhodoquinol"", ""succinate"", ""ubiquinol""]",0,0,0
1.3.5.5,15-cis-phytoene:plastoquinone oxidoreductase,"[""15,9'-dicis-phytofluene"", ""15-cis-phytoene"", ""2 decyl-plastoquinone"", ""2 decyl-ubiquinone"", ""2 decylubiquinone"", ""2 plastoquinone"", ""2,5-dibromo-3-methyl-6-isopropyl-1,4-benzoquinone"", ""5-n-undecyl-6-hydroxy-4,7-dioxobenzothiazole"", ""H2O"", ""acceptor"", ""duroquinone"", ""more"", ""plastoquinone""]","[""15,9'-dicis-phytofluene"", ""2 decyl-plastoquinol"", ""2 plastoquinol"", ""2,5-dibromo-3-methyl-6-isopropyl-1,4-benzoquinol"", ""5-n-undecyl-4,6,7-trihydroxybenzothiazole"", ""9,15,9'-tricis-zeta-carotene"", ""?"", ""duroquinol"", ""plastoquinol"", ""reduced acceptor""]",0,0,0
1.3.5.6,"9,9'-dicis-zeta-corotene:quinone oxidoreductase","[""2 AH2"", ""2 O2"", ""2 decyl-plastoquinone"", ""2 decyl-ubiquinone"", ""2 quinone"", ""7,9,9'-tricis-neurosporene"", ""9,9'-dicis-zeta-carotene"", ""AH2"", ""O2"", ""a quinone"", ""decyl-plastoquinone"", ""decyl-ubiquinone"", ""more"", ""neurosporene"", ""phytoene"", ""quinone"", ""zeta-carotene""]","[""2 A"", ""2 decyl-plastoquinol"", ""2 decyl-ubiquinone"", ""2 quinol"", ""4 H2O"", ""7,9,7',9'-tetracis-lycopene"", ""7,9,9'-tricis-neurosporene"", ""?"", ""A"", ""H2O"", ""a quinol"", ""decyl-plastoquinol"", ""decyl-ubiquinone"", ""lycopene"", ""neurosporene"", ""quinol""]",0,0,0
1.3.7.11,"2,3-bis-(O-phytanyl)-sn-glycero-phospholipid:ferredoxin oxidoreductase","[""16 H+"", ""16 dithionite"", ""16 oxidized ferredoxin [iron-sulfur] cluster"", ""16 reduced ferredoxin [iron-sulfur] cluster"", ""2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate"", ""2,3-di-O-geranylgeranylglyceryl phosphate"", ""3-O-geranylgeranyl-sn-glycerol 1-phosphate"", ""a 2,3-bis-(O-geranylgeranyl)-sn-glycero-phospholipid"", ""a 2,3-bis-(O-phytanyl)-sn-glycero-phospholipid"", ""geranylgeraniol"", ""geranylgeranyl diphosphate"", ""more"", ""reduced acceptor"", ""reduced dithionite"", ""reduced ferredoxin""]","[""14,15-dihydrogeranylgeraniol"", ""16 H+"", ""16 oxidized dithionite"", ""16 oxidized ferredoxin [iron-sulfur] cluster"", ""16 reduced ferredoxin [iron-sulfur] cluster"", ""2,3-bis-O-phytanyl-sn-glycerol 1-phosphate"", ""2,3-di-O-phytanylglyceryl phosphate"", ""3-O-phytyl-sn-glycerol 1-phosphate"", ""?"", ""a 2,3-bis-(O-geranylgeranyl)-sn-glycero-phospholipid"", ""a 2,3-bis-(O-phytanyl)-sn-glycero-phospholipid"", ""acceptor"", ""hexahydro-geranylgeranyl diphoshate"", ""oxidized dithionite"", ""oxidized ferredoxin"", ""phytyl diphosphate""]",0,0,0
1.3.7.13,protochlorophyllide-a:ferredoxin C-81-oxidoreductase,"[""3,8-divinyl chlorophyll a"", ""3,8-divinyl chlorophyllide a"", ""3,8-divinyl protochlorophyllide a"", ""8-vinyl protochlorophyllide a"", ""H+"", ""NADPH"", ""more"", ""oxidized ferredoxin [iron-sulfur] cluster"", ""protochlorophyllide a"", ""reduced ferredoxin [iron-sulfur] cluster""]","[""3,8-divinyl protochlorophyllide a"", ""?"", ""H+"", ""NADP+"", ""chlorophyll a"", ""chlorophyllide a"", ""oxidized ferredoxin [iron-sulfur] cluster"", ""protochlorophyllide a"", ""reduced ferredoxin [iron-sulfur] cluster""]",0,0,0
1.3.7.15,"bacteriochlorophyllide-a:ferredoxin 7,8-oxidoreductase","[""3-deacetyl-3-vinylbacteriochlorophyllide a"", ""ADP"", ""AH2"", ""ATP"", ""H+"", ""H2O"", ""bacteriochlorophyllide a"", ""chlorophyllide a"", ""more"", ""oxidized ferredoxin [iron-sulfur] cluster"", ""phosphate"", ""protochlorophyllide"", ""reduced dithionite"", ""reduced ferredoxin [iron-sulfur] cluster""]","[""3-acetyl-3-devinylchlorophyllide a"", ""3-deacetyl-3-vinylbacteriochlorophyllide a"", ""?"", ""A"", ""ADP"", ""ATP"", ""H+"", ""H2O"", ""chlorophyllide a"", ""oxidized dithionite"", ""oxidized ferredoxin [iron-sulfur] cluster"", ""phosphate"", ""reduced ferredoxin [iron-sulfur] cluster""]",0,0,0
1.3.7.8,"cyclohexa-1,5-diene-1-carbonyl-CoA:ferredoxin oxidoreductase (aromatizing, ATP-forming)","[""2 ATP"", ""2 H2O"", ""2-amino-benzoyl-CoA"", ""2-aminobenzoyl-CoA"", ""2-chloro-benzoyl-CoA"", ""2-fluoro-benzoyl-CoA"", ""2-fluorobenzoyl-CoA"", ""2-hydroxy-benzoyl-CoA"", ""3-bromobenzoyl-CoA"", ""3-chlorobenzoyl-CoA"", ""3-fluoro-benzoyl-CoA"", ""3-fluorobenzoyl-CoA"", ""3-hydroxybenzoyl-CoA"", ""3-methylbenzoyl-CoA"", ""4-hydroxybenzoyl-CoA"", ""ATP"", ""Benzoyl-CoA"", ""H2O"", ""N-methylhydroxylamine"", ""NH2OH"", ""O-methylhydroxylamine"", ""azide"", ""benzoyl-CoA"", ""furan-2-carbonyl-CoA"", ""more"", ""pyridine-2-carbonyl-CoA"", ""pyridine-4-carbonyl-CoA"", ""reduced acceptor"", ""reduced ferredoxin"", ""reduced methyl viologen"", ""thiophene-2-carbonyl-CoA"", ""thiophene-3-carbonyl-CoA""]","[""2 ADP"", ""2 phosphate"", ""2-amino-cyclohexa-1,5-diene-1-carbonyl-CoA"", ""2-chloro-cyclohexa-1,5-diene-1-carbonyl-CoA"", ""2-fluoro-cyclohexa-1,5-diene-1-carbonyl-CoA"", ""2-hydroxy-cyclohexa-1,5-diene-1-carbonyl-CoA"", ""3-bromocyclohexa-1,5-diene-1-carbonyl-CoA"", ""3-chlorocyclohexa-1,5-diene-1-carbonyl-CoA"", ""3-fluoro-cyclohexa-1,5-diene-1-carbonyl-CoA"", ""3-fluorocyclohexa-1,5-diene-1-carbonyl-CoA"", ""4-hydroxycyclohexa-1,5-diene-1-carbonyl-CoA"", ""?"", ""ADP"", ""acceptor"", ""cyclohexa-1,5-diene-1-carbonyl-CoA"", ""cyclohexa-1,5-diene-1-carboxyl-CoA"", ""ferredoxin"", ""methyl viologen"", ""oxidized ferredoxin"", ""oxidized methyl viologen"", ""phosphate""]",0,0,0
1.3.7.9,benzoyl-CoA:acceptor oxidoreductase,"[""4-hydroxybenzoyl-CoA"", ""H2O"", ""acceptor"", ""benzoyl-CoA"", ""oxidized ferredoxin""]","[""4-hydroxybenzoyl-CoA"", ""benzoyl-CoA"", ""reduced acceptor"", ""reduced ferredoxin""]",0,0,0
1.3.8.1,"short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","[""(3,3-difluorobutyryl)pantetheine"", ""(E)-2-butenoyl-CoA"", ""(S)-2-methylbutyryl-CoA"", ""2 Fd-"", ""2 H+"", ""2 NADH"", ""2,6-dichlorophenolindophenol"", ""2-azabutyryl-CoA"", ""2-butenoyl-CoA"", ""2-hexenoyl-CoA"", ""2-methyl-3-hydroxybutyryl-CoA"", ""2-methylbutanoyl-CoA"", ""2-methylbutyryl-CoA"", ""2-methylpropionyl-CoA"", ""2-pentenoyl-CoA"", ""2-propenoyl-CoA"", ""3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide"", ""3-fluoropropionyl-CoA"", ""3-hydroxybutyryl-CoA"", ""4-methylpentanoyl-CoA"", ""?"", ""FAD"", ""H+"", ""Meldola's Blue"", ""N-acetyl-S-acryloyl-cysteamine"", ""NAD+"", ""O2"", ""S-butyrylpantetheine"", ""acceptor"", ""acrolein"", ""acryloyl-CoA"", ""benzyl viologen"", ""butanoyl-CoA"", ""butyryl-CoA"", ""crotonyl-CoA"", ""cyclobutanecarboxyl-CoA"", ""cycloheptanecarboxyl-CoA"", ""cyclohexanecarboxyl-CoA"", ""cyclopentanecarboxyl-CoA"", ""dichloroindophenol"", ""dichlorophenolindophenol"", ""electron acceptor"", ""electron transfer flavoprotein"", ""electron transfer protein"", ""electron-transferring flavoprotein"", ""ethyl vinyl ketone"", ""ferricenium"", ""ferricytochrome c"", ""ferrocenium"", ""heptanoyl-CoA"", ""hexanoyl-CoA"", ""iodonitrotetrazolium chloride"", ""more"", ""octanoyl-CoA"", ""oxidized acceptor"", ""oxidized electron transfer flavoprotein"", ""pentanoyl-CoA"", ""pentenoyl-CoA"", ""phenazine ethosulfate"", ""phenazine methosulfate"", ""propionyl-CoA"", ""pyocyanine"", ""reduced acceptor"", ""reduced electron transfer flavoprotein"", ""reduced ferredoxin"", ""reduced methylviologen"", ""triphenyltetrazolium chloride"", ""valeryl-CoA""]","[""(S)-2-methyl-2-butenoyl-CoA"", ""2 Fd2-"", ""2 NAD+"", ""2-butenoyl-CoA"", ""2-heptenoyl-CoA"", ""2-hexenoyl-CoA"", ""2-methyl-2-butenoyl-CoA"", ""2-methyl-acetoacetyl-CoA"", ""2-methylpropenoyl-CoA"", ""2-octenoyl-CoA"", ""2-pentenoyl-CoA"", ""2-propenoyl-CoA"", ""3-fluoro-2-butenoylpantetheine"", ""4-methyl-2-pentenoyl-CoA"", ""?"", ""FADH2"", ""H2O2"", ""HF"", ""NADH"", ""S-but-2-eneoylpantetheine"", ""acceptor"", ""acetoacetyl-CoA"", ""but-2-enoyl-CoA"", ""butanoyl-CoA"", ""butenoyl-CoA"", ""butyryl-CoA"", ""crotonyl-CoA"", ""cyclo-2-butenecarboxyl-CoA"", ""cyclo-2-heptenecarboxyl-CoA"", ""cyclo-2-hexenecarboxyl-CoA"", ""cyclo-2-pentenecarboxyl-CoA"", ""electron transfer protein"", ""ferrocene"", ""hex-2-enoyl-CoA"", ""hexanoyl-CoA"", ""octenoyl-CoA"", ""oxidized acceptor"", ""oxidized ferredoxin"", ""oxidized methylviologen"", ""pent-2-enoyl-CoA"", ""pentanoyl-CoA"", ""propanoyl-CoA"", ""reduced acceptor"", ""reduced benzyl viologen"", ""reduced electron transfer flavoprotein"", ""reduced electron-transferring flavoprotein"", ""trans-2,3-dehydrobutanoyl-CoA"", ""valeryl-CoA""]",0,0,0
1.3.8.10,cyclohex-1-ene-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase,"[""Ti(III) citrate"", ""cyclohex-1,5-diene-1-carbonyl-CoA"", ""cyclohex-1-ene-1-carbonyl-CoA"", ""cyclohexa-1,5-diene-1-carbonyl-CoA"", ""ferricenium hexafluorophosphate"", ""ferricenium hexafluorophosphate+"", ""more""]","[""?"", ""benzoyl-CoA"", ""cyclohex-1,5-diene-1-carbonyl-CoA"", ""cyclohex-1-ene-1-carbonyl-CoA"", ""ferrocenium hexafluorophosphate"", ""oxidized Ti(III) citrate""]",0,0,0
1.3.8.11,cyclohexane-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase,"[""cyclohex-3-ene-1-carbonyl-CoA"", ""cyclohexane-1-carbonyl-CoA"", ""ferricenium hexafluorophosphate"", ""more""]","[""?"", ""cyclohex-1-ene-1-carbonyl-CoA"", ""cyclohexadiene-1-carbonyl-CoA"", ""ferrocenium hexafluorophosphate""]",0,0,0
1.3.8.12,(2S)-methylsuccinyl-CoA:electron-transfer flavoprotein oxidoreductase,"[""(2S)-methylsuccinyl-CoA"", ""electron-transfer flavoprotein""]","[""2-methylfumaryl-CoA"", ""reduced electron-transfer flavoprotein""]",0,0,0
1.3.8.13,"gamma-butyrobetainyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","[""crotonobetaine"", ""crotonobetainyl-CoA"", ""electron-transfer flavoprotein"", ""gamma-butyrobetainyl-CoA"", ""more"", ""reduced benzylviologen"", ""reduced electron-transfer flavoprotein""]","[""?"", ""crotonobetainyl-CoA"", ""electron-transfer flavoprotein"", ""gamma-butyrobetaine"", ""gamma-butyrobetainyl-CoA"", ""oxidized benzylviologen"", ""reduced electron-transfer flavoprotein""]",0,0,0
1.3.8.14,(L-prolyl)-[peptidyl-carrier protein]:electron-transfer flavoprotein oxidoreductase,"[""S-(L-prolyl)-[peptidyl-carrier protein PigG]"", ""S-(L-prolyl)-[peptidyl-carrier protein]"", ""electron-transfer flavoprotein"", ""more""]","[""?"", ""S-(1H-pyrrole-2-carbonyl)-[peptidyl-carrier protein PigG]"", ""S-(1H-pyrrole-2-carbonyl)-[peptidyl-carrier protein]"", ""reduced electron-transfer flavoprotein""]",0,0,0
1.3.8.3,(R)-benzylsuccinyl-CoA:electron transfer flavoprotein oxidoreductase,"[""(R)-2-benzylsuccinyl-CoA"", ""electron-transferring flavoprotein"", ""ferricenium hexafluorophosphate""]","[""(E)-2-benzylidenesuccinyl-CoA"", ""ferrocenium hexafluorophosphate"", ""reduced electron-transferring flavoprotein""]",0,0,0
1.3.8.4,3-methylbutanoyl-CoA:electron-transfer flavoprotein oxidoreductase,"[""(S)-2-methylbutyryl-CoA"", ""2,6-dichlorophenolindophenol"", ""2-methyl-hexanoyl-CoA"", ""2-methylbutanoyl-CoA"", ""2-methylpalmitoyl-CoA"", ""FAD"", ""acceptor"", ""butyryl-CoA"", ""electron transfer protein"", ""electron-transfer flavoprotein"", ""hexanoyl-CoA"", ""isobutyryl-CoA"", ""isovaleryl-CoA"", ""more"", ""n-valeryl-CoA"", ""octanoyl-CoA"", ""phenazine methosulfate"", ""valeryl-CoA""]","[""2-methylbut-2-enoyl-CoA"", ""2-methylcrotonyl-CoA"", ""2-methylhex-2-enoyl-CoA"", ""2-methylhexadec-2-enoyl-CoA"", ""2-methylpropanoyl-CoA"", ""3-methylcrotonoyl-CoA"", ""3-methylcrotonyl-CoA"", ""?"", ""FADH2"", ""but-2-enoyl-CoA"", ""crotonyl-CoA"", ""hex-2-enoyl-CoA"", ""oct-2-enoyl-CoA"", ""pent-2-enoyl-CoA"", ""reduced acceptor"", ""reduced electron transfer protein"", ""reduced electron-transfer flavoprotein"", ""reduced phenazine methosulfate""]",0,0,0
1.3.8.5,2-methyl-branched-chain-acyl-CoA:electron-transfer flavoprotein 2-oxidoreductase,"[""2-methylbutanoyl-CoA"", ""2-methylpentanoyl-CoA"", ""butyryl-CoA"", ""electron-transfer flavoprotein"", ""more"", ""octanoyl-CoA"", ""pentanoyl-CoA""]","[""(E)-2-methylbut-2-enoyl-CoA"", ""2-methyl-2-pentenoyl-CoA"", ""?"", ""H+"", ""reduced electron-transfer flavoprotein""]",0,0,0
1.3.8.6,"glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating)","[""2,6-dichlorophenol indophenol"", ""3-thiaglutaryl-CoA"", ""4-nitrobutyryl-CoA"", ""5-hexenoyl-CoA"", ""FAD"", ""acceptor"", ""butyryl-CoA"", ""electron transfer flavoprotein"", ""electron transfer protein"", ""ferricenium hexafluorophosphate"", ""ferrocenium hexafluorophosphate"", ""glutaconyl-CoA"", ""glutaramyl-CoA"", ""glutaryl-CoA"", ""glutarylpantetheine"", ""hexanoyl-CoA"", ""isovaleryl-CoA"", ""methyl-glutaryl-CoA"", ""more"", ""octanoyl-CoA"", ""pentanoyl-CoA"", ""proteo-glutaryl-CoA""]","[""(E)-but-2-enoyl-CoA"", ""4-nitro-but-2-enoyl-CoA"", ""?"", ""CO2"", ""FADH2"", ""crotonoyl-CoA"", ""crotonyl-CoA"", ""crotonylpantetheine"", ""ferricenium hexafluorophosphate"", ""ferrocenium hexafluorophosphate"", ""methyl-crotonyl-CoA"", ""reduced 2,6-dichlorophenol indophenol"", ""reduced acceptor"", ""reduced electron transfer flavoprotein"", ""reduced electron transfer protein""]",0,0,0
1.3.8.7,"medium-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","[""(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoyl-CoA"", ""(5Z,8Z,11Z,14Z,17Z) -5,8,11,14,17-icosapentaenoyl-CoA"", ""2,6-dichloroindophenol"", ""2,6-dichlorophenolindophenol"", ""2,6-dimethylheptanoyl-CoA"", ""4,8,12-trimethyltridecanoyl-CoA"", ""4-cis,7-cis-decadienoyl-CoA"", ""4-cis-decenoyl-CoA"", ""4-decynoyl-CoA"", ""4-oxaoctanoyl-CoA"", ""4-thiaoctanoyl-CoA"", ""5-cis-decenoyl-CoA"", ""6-cis-decenoyl-CoA"", ""H2O"", ""Meldola's Blue"", ""O2"", ""[4-(dimethylamino)phenyl]propionyl-CoA"", ""acceptor"", ""acyl-CoA"", ""all-cis-4,7,10,13-hexadecatetraenoyl-CoA"", ""arachidonoyl-CoA"", ""arachidoyl-CoA"", ""beta-(2-furyl)propionyl-CoA"", ""butanoyl-CoA"", ""crotonyl-CoA"", ""decanoyl-CoA"", ""docosanoyl-CoA"", ""dodecanoyl-CoA"", ""elaidoyl-CoA"", ""electron transfer flavoprotein"", ""electron transferring flavoprotein"", ""ferricenium"", ""ferricenium hexafluorophosphate"", ""ferriocenium hexfluorophosphate"", ""furylpropionyl-CoA"", ""heptadecan-2-onyl-dethio-CoA"", ""heptadecanoyl-CoA"", ""hexadecanoyl-CoA"", ""hexanoyl-CoA"", ""indolepropionyl-CoA"", ""iodonitrotetrazoliumchloride"", ""lauroyl-CoA"", ""linoleoyl-CoA"", ""more"", ""myristoleoyl-CoA"", ""myristoyl-CoA"", ""n-octanoyl-CoA"", ""n-tetradecanoyl-CoA"", ""nonanoyl-CoA"", ""octadecanoyl-CoA"", ""octanoyl 3'-dephospho-CoA"", ""octanoyl pantetheine"", ""octanoyl-1,N6-etheno-CoA"", ""octanoyl-CoA"", ""oleoyl-CoA"", ""oxidized electron transfer flavoprotein"", ""palmitoleoyl-CoA"", ""palmitoyl-CoA"", ""pentadecanoyl-CoA"", ""pentanoyl-CoA"", ""phenazine methosulfate"", ""phenylpropionyl-CoA"", ""pyocyanine"", ""stearoyl-CoA"", ""tetradecanoyl-CoA"", ""undecanoyl-CoA""]","[""(2E)-2-decenoyl-CoA"", ""(2E)-2-hexenoyl-CoA"", ""2,3-dehydroacyl-CoA"", ""2-decenoyl-CoA"", ""2-dodecenoyl-CoA"", ""2-hexadecenoyl-CoA"", ""2-hexenoyl-CoA"", ""2-octadecenoyl-CoA"", ""2-octenoyl-CoA"", ""2-pentenoyl-CoA"", ""2-tetradecenoyl-CoA"", ""2-trans,4-cis,7cis-decatrienoyl-CoA"", ""2-trans,4-cis-decadienoyl-CoA"", ""2-trans,5-cis-decadienoyl-CoA"", ""2-trans,6-cis-decadienoyl-CoA"", ""2-trans-all-cis-4,7,10,13-hexadecapentaenoyl-CoA"", ""2-trans-decenoyl-CoA"", ""2-trans-dodecenoyl-CoA"", ""2-trans-hexadecenoyl-CoA"", ""2-trans-hexenoyl-CoA"", ""4-(dimethylamino)cinnamoyl-CoA"", ""4-thia-trans-2-octenoyl-CoA"", ""?"", ""H2O2"", ""L-3-hydroxy-butyryl-CoA"", ""crotonyl-CoA"", ""decenoyl-CoA"", ""dodecenoyl-CoA"", ""ferrocenium hexafluorophosphate"", ""furylacryloyl-CoA"", ""indoleacryloyl-CoA"", ""reduced 2,6-dichloroindophenol"", ""reduced 2,6-dichlorophenolindophenol"", ""reduced acceptor"", ""reduced electron transfer flavoprotein"", ""reduced electron transferring flavoprotein"", ""reduced ferricenium hexafluorophosphate"", ""reduced pyocanine"", ""tetradecenoyl-CoA"", ""trans-2-ene-4-decynoyl-CoA"", ""trans-beta-(2-furyl)acryloyl-CoA""]",0,0,0
1.3.8.8,"long-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","[""(R/S)-2-methylpalmitoyl-CoA"", ""(S)-2-methylpentadecanoyl-CoA"", ""2,6-dimethylheptanoyl-CoA"", ""2-methylheptanoyl-CoA"", ""3-keto-palmitoyl-CoA"", ""4-cis-7-cis-decadienoyl-CoA"", ""4-cis-decenoyl-CoA"", ""5-cis-decenoyl-CoA"", ""6-cis-decenoyl-CoA"", ""Meldola's Blue"", ""acceptor"", ""acyl-CoA"", ""arachidonoyl-CoA"", ""butyryl-CoA"", ""cis,cis,cis,cis-4,7,10,13-hexadecatetraenoyl-CoA"", ""decanoyl-CoA"", ""docosanoyl-CoA"", ""dodecanoyl-CoA"", ""eicosanoyl-CoA"", ""electron transfer flavoprotein"", ""electron-transfer flavoprotein"", ""erucoyl-CoA"", ""hexanoyl-CoA"", ""lauroyl-CoA"", ""lineoyl-CoA"", ""linolenoyl-CoA"", ""linoleoyl-CoA"", ""more"", ""myristoyl-CoA"", ""octanoyl-CoA"", ""oleoyl-CoA"", ""omega-phenyldecanoyl-CoA"", ""omega-phenyldodecanoyl-CoA"", ""oxidized flavin"", ""palmitoleoyl-CoA"", ""palmitoyl-CoA"", ""phenazine methosulfate"", ""platensimycin ML1"", ""stearoyl-CoA"", ""tetradecanoyl-CoA""]","[""(2E)-2-decenoyl-CoA"", ""(2E)-2-dodecenoyl-CoA"", ""(2E)-2-hexadecenoyl-CoA"", ""(2E)-2-hexenoyl-CoA"", ""(2E)-2-octenoyl-CoA"", ""(2E,13Z)-2,13-docosadienoyl-CoA"", ""(2E,5Z,8Z,11Z,14Z)-2,5,8,11,14-eicosapentaenoyl-CoA"", ""(2E,6Z,9Z,12Z)2,6,9,12-octadecatetraenoyl-CoA"", ""(2E,9Z)-2,9-hexadecadienoyl-CoA"", ""(2E,9Z)-2,9-octadecadienoyl-CoA"", ""(2E,9Z,12Z)-2,9,12-octadecatrienoyl-CoA"", ""10-phenyl-2-decenoyl-CoA"", ""12-phenyl-2-dodecenoyl-CoA"", ""2,3-dehydro-2,6-dimethylheptanoyl-CoA"", ""2,3-dehydro-2-methylpalmitoyl-CoA"", ""2,3-dehydroacyl-CoA"", ""2,3-unsaturated-palmitoyl-CoA"", ""2,9,12-octadecatrienoyl-CoA"", ""2,9-octadecadienoyl-CoA"", ""2-butenoyl-CoA"", ""2-decenoyl-CoA"", ""2-docosenoyl-CoA"", ""2-dodecenoyl-CoA"", ""2-hexadecenoyl-CoA"", ""2-hexenoyl-CoA"", ""2-methyl-2-pentadecenoyl-CoA"", ""2-octadecenoyl-CoA"", ""2-octenoyl-CoA"", ""2-tetradecenoyl-CoA"", ""2-trans-4,7,10,13-cis,cis,cis,cis-hexadecapentaenoyl-CoA"", ""2-trans-4,7-cis,cis-decatrienoyl-CoA"", ""2-trans-4-cis-decadienoyl-CoA"", ""2-trans-5-cis-decadienoyl-CoA"", ""2-trans-6-cis-decadienoyl-CoA"", ""?"", ""reduced acceptor"", ""reduced electron transfer flavoprotein"", ""reduced electron-transfer flavoprotein"", ""reduced flavin"", ""reduced meldola blue"", ""reduced phenazine methosulfate"", ""trans(2)-tetradecenoyl-CoA"", ""trans-2-eicosenoyl-CoA""]",0,0,0
1.3.8.9,"very-long-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase","[""acceptor"", ""acyl-CoA"", ""electron-transfer flavoprotein"", ""more"", ""palmitoyl-CoA""]","[""(2E)-2-hexadecenoyl-CoA"", ""2,3-dehydroacyl-CoA"", ""?"", ""reduced acceptor"", ""reduced electron-transfer flavoprotein""]",0,0,0
1.3.98.1,(S)-dihydroorotate:fumarate oxidoreductase,"[""(S)-dihydroorotate"", ""2,3-dimethoxy-5-methyl-6-(3-methyl-2-butenyl)-1,4-benzoquinone"", ""2,6-dichloroindophenol"", ""2,6-dichlorophenolindophenol"", ""CoQ"", ""L-dihydroorotate"", ""O2"", ""S-dihydroorotate"", ""acceptor"", ""crotonate"", ""dihydroorotate"", ""dihydrooxonate"", ""ferricyanide"", ""fumarate"", ""menadione"", ""mesaconate"", ""more"", ""orotate"", ""ubiquinone-1""]","[""(S)-dihydroorotate"", ""2-methylbutanedioate"", ""?"", ""H2O2"", ""butanoate"", ""ferrocyanide"", ""menadiol"", ""orotate"", ""oxonate"", ""reduced 2,3-dimethoxy-5-methyl-6-(3-methyl-2-butenyl)-1,4-benzoquinone"", ""reduced 2,6-dichloroindophenol"", ""reduced 2,6-dichlorophenolindophenol"", ""reduced acceptor"", ""reduced fumarate"", ""succinate"", ""ubiquinol-1""]",0,0,0
1.3.98.4,tetracycline:coenzyme F420 dehydrogenase,"[""7-chloro-5a,11a-dehydrotetracycline"", ""oxidized coenzyme F420"", ""reduced 7,8-didemethyl-8-hydroxy-5-deazariboflavin"", ""reduced cosynthetic factor-1"", ""tetracycline""]","[""5a,11a-dehydrotetracycline"", ""7-chlorotetracycline"", ""oxidized 7,8-didemethyl-8-hydroxy-5-deazariboflavin"", ""oxidized cosynthetic factor-1"", ""reduced coenzyme F420""]",0,0,0
1.3.99.12,2-methylbutanoyl-CoA:acceptor oxidoreductase,"[""(R)-2-methylbutanoyl-CoA"", ""(R)-2-methylbutyryl-CoA"", ""(S)-2-methylbutanoyl-CoA"", ""2-methylbutanoyl-CoA"", ""2-methylpentanoyl-CoA"", ""acceptor"", ""butyryl-CoA"", ""electron transfer flavoprotein"", ""hexanoyl-CoA"", ""isobutyryl-CoA"", ""more"", ""octanoyl-CoA"", ""pentanoyl-CoA"", ""valeryl-CoA""]","[""2-butenoyl-CoA"", ""2-ethylprop-2-enoyl-CoA"", ""2-methyl-2-pentenoyl-CoA"", ""2-methylacryloyl-CoA"", ""2-methylbut-2-enoyl-CoA"", ""2-octenoyl-CoA"", ""2-pentenoyl-CoA"", ""?"", ""but-2-enoyl-CoA"", ""hex-2-enoyl-CoA"", ""isobutyr-2-yl-CoA"", ""methacrylyl-CoA"", ""oct-2-enoyl-CoA"", ""pent-2-enoyl-CoA"", ""reduced acceptor"", ""reduced electron transfer flavoprotein""]",0,0,0
